ID,Class
31,Sydney
32,Sydney
33,Sydney
34,Sydney
35,Sydney
36,Sydney
37,Sydney
38,Sydney
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Melbourne
315,Sydney
316,Sydney
317,Sydney
318,Melbourne
319,Sydney
320,Brisbane
321,Sydney
322,Sydney
323,Sydney
324,Perth
325,Sydney
326,Sydney
327,Sydney
328,Sydney
329,Sydney
330,Sydney
331,Sydney
332,Sydney
333,Sydney
334,Sydney
335,Sydney
336,Sydney
337,Sydney
338,Sydney
339,Sydney
340,Sydney
341,Sydney
342,Sydney
343,Melbourne
344,Sydney
345,Sydney
346,Sydney
347,Sydney
348,Sydney
349,Sydney
350,Brisbane
351,Sydney
352,Sydney
353,Sydney
354,Sydney
355,Sydney
356,Sydney
357,Sydney
358,Sydney
359,Perth
360,Sydney
361,Melbourne
362,Sydney
363,Sydney
364,Brisbane
365,Sydney
366,Perth
367,Sydney
368,Sydney
369,Sydney
370,Sydney
371,Sydney
372,Sydney
373,Melbourne
374,Sydney
375,Sydney
376,Sydney
377,Sydney
378,Sydney
379,Sydney
380,Melbourne
381,Sydney
382,Sydney
383,Sydney
384,Sydney
385,Sydney
386,Sydney
387,Perth
388,Sydney
389,Sydney
390,Sydney
391,Sydney
392,Sydney
393,Sydney
394,Sydney
395,Sydney
396,Sydney
397,Sydney
398,Sydney
399,Sydney
3100,Sydney
3101,Sydney
3102,Sydney
3103,Sydney
3104,Brisbane
3105,Sydney
3106,Sydney
3107,Sydney
3108,Sydney
3109,Sydney
3110,Sydney
3111,Perth
3112,Sydney
3113,Brisbane
3114,Sydney
3115,Brisbane
3116,Sydney
3117,Sydney
3118,Sydney
3119,Brisbane
3120,Sydney
3121,Sydney
3122,Sydney
3123,Sydney
3124,Brisbane
3125,Sydney
3126,Melbourne
3127,Sydney
3128,Sydney
3129,Sydney
3130,Brisbane
3131,Sydney
3132,Perth
3133,Sydney
3134,Sydney
3135,Perth
3136,Perth
3137,Sydney
3138,Sydney
3139,Sydney
3140,Sydney
3141,Sydney
3142,Sydney
3143,Sydney
3144,Sydney
3145,Sydney
3146,Sydney
3147,Sydney
3148,Perth
3149,Sydney
3150,Sydney
3151,Sydney
3152,Perth
3153,Sydney
3154,Sydney
3155,Sydney
3156,Sydney
3157,Sydney
3158,Sydney
3159,Sydney
3160,Sydney
3161,Sydney
3162,Sydney
3163,Sydney
3164,Sydney
3165,Sydney
3166,Brisbane
3167,Sydney
3168,Sydney
3169,Sydney
3170,Sydney
3171,Sydney
3172,Melbourne
3173,Sydney
3174,Sydney
3175,Sydney
3176,Sydney
3177,Sydney
3178,Sydney
3179,Sydney
3180,Sydney
3181,Sydney
